year,month,flow
1977,1,16.2533264124408
1977,2,29.8225042630012
1977,3,157.141198259062
1977,4,96.7916506311478
1977,5,53.4421555542898
1977,6,29.8505882943576
1977,7,32.1027302479921
1977,8,36.6429686903931
1977,9,83.6765461204133
1977,10,86.261610303019
1977,11,92.2062823291326
1977,12,77.762280915921
1978,1,115.095442896039
1978,2,56.6368706293594
1978,3,96.0775495883263
1978,4,104.900943114778
1978,5,67.2026230207815
1978,6,40.2496205350247
1978,7,15.5665557061887
1978,8,29.4301589675005
1978,9,10.1117836694452
1978,10,10.7863922451258
1978,11,13.3053721273973
1978,12,31.4090327388534
1979,1,115.838776157231
1979,2,52.8833226314621
1979,3,197.944934208036
1979,4,115.439786828348
1979,5,110.480775699348
1979,6,25.1412394753571
1979,7,29.626637624845
1979,8,34.6056787251113
1979,9,38.0991721791829
1979,10,56.158438755972
1979,11,55.8022576341126
1979,12,46.2712466179056
1980,1,35.3446295778301
1980,2,28.3290200945489
1980,3,140.159316085361
1980,4,110.995714506019
1980,5,38.3549455453245
1980,6,34.6348993938876
1980,7,17.9435333237033
1980,8,9.15871118056394
1980,9,6.86034825880695
1980,10,11.1590294282933
1980,11,20.8616543687914
1980,12,15.9446440635372
1981,1,13.3676810403991
1981,2,153.823165386391
1981,3,43.9799320863808
1981,4,50.7136019234254
1981,5,35.6923851252651
1981,6,22.866675007527
1981,7,20.3130044927934
1981,8,8.72389864989306
1981,9,10.981290130792
1981,10,33.9340792001243
1981,11,24.1332290511577
1981,12,52.1258502107854
1982,1,32.7691927043663
1982,2,62.4984677700795
1982,3,173.277050213054
1982,4,95.8512385969351
1982,5,46.603984355457
1982,6,110.494016824611
1982,7,43.5183666354146
1982,8,14.0751523945359
1982,9,11.3570831597107
1982,10,9.91097290242015
1982,11,17.0800903126712
1982,12,19.0832520675885
1983,1,42.5185426485191
1983,2,70.219755965341
1983,3,173.023737607023
1983,4,224.312737261718
1983,5,113.143765821889
1983,6,46.7302138376239
1983,7,21.160644524606
1983,8,16.7843528157415
1983,9,10.8103744695127
1983,10,22.1602673387216
1983,11,74.0935094954026
1983,12,90.592625406079
1984,1,54.2809845237852
1984,2,215.805054821449
1984,3,106.173203207707
1984,4,141.591118125187
1984,5,232.095218416099
1984,6,39.1084951720213
1984,7,32.4130910700328
1984,8,12.486223998348
1984,9,6.17868588729958
1984,10,10.7165154461268
1984,11,20.3950761237523
1984,12,34.6624334812552
1985,1,23.286321119857
1985,2,31.5129621326515
1985,3,67.9091876169333
1985,4,31.3898430140356
1985,5,39.0813231146505
1985,6,24.4845265142943
1985,7,25.9849830307402
1985,8,25.3335766063007
1985,9,35.145115378135
1985,10,25.0128624162445
1985,11,68.1306009431625
1985,12,40.0655394530368
1986,1,78.4317843439343
1986,2,71.6306360206551
1986,3,134.262199756556
1986,4,47.2308075276776
1986,5,35.8165985062642
1986,6,42.3773736482084
1986,7,81.5198443937027
1986,8,21.1605536396533
1986,9,10.9962059193255
1986,10,13.3721011563738
1986,11,42.0094163042113
1986,12,95.1419373549287
1987,1,79.8835374269146
1987,2,48.0199240112887
1987,3,107.96121297341
1987,4,139.997450734217
1987,5,36.6635426624475
1987,6,28.2241993899972
1987,7,17.8761457512796
1987,8,20.8699924663173
1987,9,67.0187299107049
1987,10,57.8573787254021
1987,11,44.3444530013416
1987,12,35.1415341638331
1988,1,34.8670422493999
1988,2,56.4560168138796
1988,3,83.9038736326075
1988,4,61.9319593467827
1988,5,54.2730352036576
1988,6,17.7563763928593
1988,7,54.7867954503765
1988,8,36.7430875201065
1988,9,15.0631963027856
1988,10,16.4647888474552
1988,11,64.7150675550264
1988,12,35.8850561675793
1989,1,34.5209592963655
1989,2,40.5672533264005
1989,3,66.5156680619635
1989,4,67.0764390337852
1989,5,138.197749142694
1989,6,80.8092943155516
1989,7,39.4039176427004
1989,8,43.2371267196626
1989,9,44.7743176294785
1989,10,107.199606926545
1989,11,54.0304386450546
1989,12,24.3873495729663
1990,1,70.5674898466784
1990,2,77.6100638698206
1990,3,86.6089136767816
1990,4,83.098871991159
1990,5,117.023195823831
1990,6,33.2275350398958
1990,7,19.8615107395347
1990,8,85.2501585396148
1990,9,24.2165134518448
1990,10,61.0763836271986
1990,11,48.0022303140551
1990,12,77.4217630651648
1991,1,54.0263300948151
1991,2,55.0938780753113
1991,3,96.111584767863
1991,4,85.6100607792963
1991,5,54.199998329053
1991,6,23.1291186602651
1991,7,9.65430772062562
1991,8,61.3836172628806
1991,9,84.8679773653172
1991,10,56.6216157089814
1991,11,61.5395153029496
1991,12,61.598972991992
1992,1,53.8607469774281
1992,2,52.3930560247704
1992,3,88.4197436570918
1992,4,92.3252819479902
1992,5,66.9367921177832
1992,6,39.4356014078427
1992,7,37.4540342220348
1992,8,44.2042004190811
1992,9,22.9576504578699
1992,10,19.3109096650835
1992,11,40.8324132820136
1992,12,57.7456144714745
1993,1,55.0421911791056
1993,2,44.943322615488
1993,3,149.074082193389
1993,4,180.551266981216
1993,5,43.0338735630811
1993,6,16.5080216222536
1993,7,13.6806320281296
1993,8,9.25370589393476
1993,9,16.1943285833485
1993,10,26.0545250884529
1993,11,41.7616646479516
1993,12,54.8295303064864
1994,1,31.2095501349933
1994,2,33.0507664310275
1994,3,153.835459303583
1994,4,191.069654062045
1994,5,76.3487415975756
1994,6,29.3557088854441
1994,7,35.3563166521663
1994,8,31.3040959074773
1994,9,33.6754886908023
1994,10,15.9788513001646
1994,11,25.8502415289498
1994,12,62.8694412981616
1995,1,70.1420855510846
1995,2,56.1023321823089
1995,3,76.3801621674044
1995,4,50.830427789508
1995,5,29.5473108790096
1995,6,21.1546042108156
1995,7,25.1200492032994
1995,8,18.1996045152102
1995,9,13.8853530065487
1995,10,130.918514732578
1995,11,92.6774670058054
1995,12,46.4354881389084
1996,1,78.5552848032147
1996,2,74.5017878803843
1996,3,89.9544998407126
1996,4,252.866044154561
1996,5,78.5364308626286
1996,6,68.4433964443408
1996,7,74.7830134748682
1996,8,18.1140892437976
1996,9,55.1075372659472
1996,10,66.1161547271365
1996,11,59.9273079124864
1996,12,130.411377665033
1997,1,72.3397926888934
1997,2,69.5709895452694
1997,3,134.544724441979
1997,4,72.902724540959
1997,5,59.5832622725752
1997,6,19.4905376026392
1997,7,21.3595867516891
1997,8,35.9666217413241
1997,9,17.6837559594402
1997,10,17.8672391395613
1997,11,69.1248358343877
1997,12,45.8249554915082
1998,1,85.6708849145742
1998,2,87.281343996355
1998,3,80.4635027517168
1998,4,56.0423219847128
1998,5,90.1498358649558
1998,6,107.70850279239
1998,7,24.8212300952986
1998,8,10.1540427421369
1998,9,8.33706828963367
1998,10,24.2176997241082
1998,11,23.0108626881463
1998,12,21.1946766766224
1999,1,44.0865388430207
1999,2,76.8123441725587
1999,3,147.207850016323
1999,4,44.5678669676965
1999,5,51.381985760467
1999,6,28.6938602456061
1999,7,14.2523804849589
1999,8,18.0066383906411
1999,9,148.951140143505
1999,10,53.4252791567091
1999,11,43.4320703219667
1999,12,35.5921646781264
2000,1,38.043072277478
2000,2,55.8731057076399
2000,3,112.68744456364
2000,4,90.2070403999079
2000,5,76.0596457498843
2000,6,116.206500424986
2000,7,86.917418250607
2000,8,48.6329613489974
2000,9,41.2863254073673
2000,10,24.5151810180703
2000,11,25.5879388313503
2000,12,37.0104653530154
2001,1,34.2457159686138
2001,2,51.8012865324212
